COMPANY NAME,ADDRESS,STATE,ZIP,COUNTRY
Mc Quarrie Surf Boards,3 Churchill St  WilliamstownNorth,Victoria ,3016,Australia
MC Surf Designs,3 Banksia Drive Byron Bay Industrial Estate   Byron Bay,New South Wales ,2481,Australia
Men Do Clothing,Shop 16 Centrepoint Plaza,Bowen,4805,Australia
Menthas Of Cobram,39-41 Bank St  Cobram,Victoria  ,3644,Australia
Merimbula Surf Shop,4 Merimbula Drv  Merimbula,New South Wales ,2548,Australia
Moses Australia,Stockland Baldivis Shopping Centre,Safety Bay Rd  Baldivis,6171,Australia
Mt Woodgee Surfboards Pty Ltd,2 Stewart St  Currumbin,Queensland ,4223,Australia
Mt Woodgee=Surfboards Burleigh Heads,1730 Gold Coast Hwy,Burleigh Heads,4220,Australia
Murray Smith Surf Warehouse,3/298 Selby St, Osborne Park,6017,Australia
Muwupa Pty Ltd,17 Yewens Crt  Camden,New South Wales  ,2570,Australia
MV2,36 Beach Rd  Christies Beach,South Australia ,5165,Australia
Natural Necessity,115 Fern St  Gerringong,New South Wales ,2534,Australia
New Wave Surf &amp; Street,9 Alexander St  Port Pirie,South Australia ,5540,Australia
Nitsua Surfboard Company,Unit 6/ 170 Beechboro Rd  BaysWater,Western Australia ,6053,Australia
Nu-Scene,204- 210 Raymond St  Sale,Victoria ,3850,Australia
Oakley O Store,Shop 7 Surf City PlazaSurfcoast Hwy  Torquay,Victoria ,3228,Australia
OceanStyle LongBoards,229B Queen VICtoria St  North Fremantle,Western Australia ,6159,Australia
Offshore Surf,Mitcham Shopping Centre 119 Belair Rd  TorrensPark,South Australia ,5062,Australia
Offshore Surf Shop,68 Vulcan Street  Moruya,New South Wales  ,2537,Australia
Offshore Surf Shop,192-194 Murray Street  Colac,Victoria  ,3250,Australia
One Zach Benalla,59 Bridge Street  Benalla,Victoria  ,3672,Australia
One Zach Yarrawonga,Shop 3/59-63 Belmore Street  Yarrawonga,Victoria  ,3730,Australia
Out There Outdoor Activities,930 illip Island Tourist   Newhaven,Victoria ,3925,Australia
Outereef Surfboards Australia,73 illip Island Rd  San Remo,Victoria ,3925,Australia
Ozmosis,57-59 Ocean Beach Road   Sorrento,Victoria  ,3943,Australia
P.S.C Skateboarding,Shop 1125 Highpoint Shopping Centre   Maribyrnong,Victoria ,3032,Australia
Pacific Dreams,7 Darby Street  Newcastle,New South Wales  ,2302,Australia
Pacific Prizm Boardstore,SHOP 1 10 BLAXLAND ROAD  Cambelltown,New South Wales  ,2560,Australia
Passport Surf,85 Rooke Mall  Devonport,Tasmania ,7310,Australia
PD Sport &amp; leisure,49 Carramarr Rd  Castle Hill,New South Wales ,2154,Australia
Pirate Point Surf,63 Mitchell St  Stockton,New South Wales ,2295,Australia
Planet Surf,111 Charles St  Launceston,Tasmania ,7250,Australia
Planet Surf Head Office,3/5 Jellico Drive  Scoresby,Victoria  ,3176,Australia
Planet X,78a Langtree Avenue  Mildura,Victoria  ,3500,Australia
Port Macquarie,1 Middle Rock Rd  LakeCathie,New South Wales ,2445,Australia
Powerlinez Surf Shop,16a Waterloo St  Narrabeen,New South Wales ,2101,Australia
Preece's South Port Surf and Skate,159 Esplanade   Port Noarlunga South,South Australia ,5167,Australia
Premier Sports Centre Pty Ltd,Shop 13/Westland Shopping Cent Nicholson Ave  Whyalla Norrie,South Australia ,5608,Australia
Primary Clothing Company,26 Loftus Pl   Forster,New South Wales ,2428,Australia
Primitive Surf,601 Nudgee Rd, Nundah,4012,Australia
Quarryman Surf,149 Argyle St  Picton,New South Wales ,2571,Australia
Quiksilver,178 The Arcade Pacific Fair Shopping Centre  Broadbeach,Queensland  ,4218,Australia
Quiksilver Store,Shp 1/ 56 Dunn Bay Rd, Dunsborough,6281,Australia
Quiksilver Store,100 Geelong Rd Surfcoast Plaza,Torquay,3228,Australia
RAM,Market Place   Raymond Terrace,New South Wales ,2324,Australia
Rapid Surf &amp; Ski,180 Main North Rd   Prospect,South Australia  ,5082,Australia
Rasta's Surf Co,51 Hitchcock Ave  Barwon Heads,Victoria ,3227,Australia
Red Herring Surf,127 Charles St  Launceston,Tasmania ,7250,Australia
Red Sun,Shop 5,Kununurra Shopping Centre  Kununurra,6743,Australia
Redbill Surf Shop,24a Channel Crt  Kingston,Tasmania ,7050,Australia
Reef 2 Beach Surf Shop,Shop 1 Agnes Waters Shopping Centre   Agnes Waters,Queensland ,4677,Australia
Rhythm,8 Sharp Street  Cooma,New South Wales ,2630,Australia
Rider Plus,105 Upper Heidelberg Rd,Ivanhoe,3079,Australia
Rip Curl,107 Abbott Street  Cairns,Queensland  ,4870,Australia
Rip Curl Airlie Beach,5-287 Shute Harbour  Airlie Beach,Queensland  ,4802,Australia
Rip Curl Manly,98-100 The Corso  Manly,New South Wales  ,2095,Australia
Rip Curl Scarbourough,Shop 14 Luna Maxi Mart,Westcoast Hwy  Scarboorough,6079,Australia
Rip Curl Shop Tullamarine,Shop 11 1st Floor Sky Plaza,International Terminal  MelbourneAirport,3045,Australia
Rip Curl Surf Shop,101 Geelong Road  Torquay,Victoria  ,3228,Australia
Robertsons,39 Grave St   Kadina,South Australia ,5554,Australia
Roxy Store,Surf City Plaza  Torquay,Victoria ,3228,Australia
Rush Gladstone,1 Harvey St,&nbsp;  Gladstone,4680,Australia
Rush Lifestyles Australia Pty Ltd,Shop 30 Centro Shop. Centre,Pialba  HerveyBay,4655,Australia
Safari Surf Crafts &amp; Fiberglass Repairs,20 Consett Ave  Bondi Beach,New South Wales ,2026,Australia
Sails &amp; Windsurfing Centre,U15/ 30 Peel Rd  O'Connor,Western Australia ,6163,Australia
Salt Water City,74 Emmett St  Smithton,Tasmania ,7330,Australia
Saltbush,4 Church St  Pt Augusta,South Australia ,5700,Australia
Saltbush Surf &amp; Leisure,4 Church St  Port Augusta,South Australia ,5700,Australia
Saltwater Wine Surf Centres,107 Horton Street  Port Macquarie,New South Wales ,2444,Australia
Salty's Surf N Skate,295 Hannan Street  Kalgoorlie,Western Australia ,6433,Australia
Sam's Place,26 Victoria St,Robe,5276,Australia
Sanbah,Shop 27 The Junction Fair  204 Union St, The Junction,2291,Australia
Sand Bar Surf,531 The Esplanade  Lakes Entrance,Victoria ,3909,Australia
Scamander Beach Surf Shop,6 Lagoon Esp   Scamander,Tasmania ,7215,Australia
SDS Belconnen,Shop 313 &amp; 314,Westfield Shopping Town  Benjamin,2617,Australia
SDS Brookvale,Shop 517 Warringah Mall  Brookvale,New South Wales ,2100,Australia
SDS Cairns,Shop T80-T82,Cairns Shopping Centre  Cairns,4870,Australia
SDS Canberra City,Shop CG24-27 148 Civic S/C 148 Bunda Street  Canberra,Australian Capital Territory ,2600,Australia
SDS Chatswood,Shop 310 - 313,Westfield Chatswood  Chatswood,2067,Australia
SDS Darling Harbour,Shop 205 Darling Harbour  Sydney,New South Wales ,2000,Australia
SDS Pagewood,Shop 330 – 331,Westfield  Eastgardens,2036,Australia
SDS Parramatta,Shop 4004,Westfield  Parramatta,2123,Australia
SDS Wollongong,Shop 29 - 30 Wollongong Central  Wollongong,New South Wales  ,2500,Australia
Sea Breeze Surf,Cnr Rae &amp; Safetybay Rds  Safetybay,Western Australia ,6169,Australia
Seabreeze Sailboards,Corner Rae @ Safety Bay Roads  Safety Bay,Western Australia ,6169,Australia
Seabreeze Surf Shop,Cnr Rae and Safetybay Rds   Safety Bay,Western Australia ,6169,Australia
Serious Surf Stuff,1 Williams St  Inverloch,Victoria  ,3953,Australia
Sessions Surf Shop,Shop 1105 Bussell Hwy  Margaret River,Western Australia ,6285,Australia
Sharkys,Lorne Cumberland Resort Shop 12 Mt Joy Pde,Lorne,3232,Australia
SHQ Boardsports,81 Beach Rd  Sandringham,Victoria ,3191,Australia
Sideways,1-2/16 Central Park Ave,Ashmore,4214,Australia
Sixty Nine,Shop 3 46-54 River St  Ballina,New South Wales  ,2478,Australia
Ski Surf &amp; Snow,1/138 George St  Rockhampton,Queensland ,4700,Australia
Skiers Edge Albury,471 Dean St  Albury,New South Wales  ,2640,Australia
Skigia &amp; Surf,123 Elizabeth St  Hobart,Tasmania ,7000,Australia
Skin  Ski &amp; Surf Sunbury,93 Evans St  Sunbury,Victoria ,3429,Australia
Skin Ski &amp; Surf,320- 322 Flinders Mall  Townsville,Queensland ,4810,Australia
Slime Surf + Skate,Shop 47t Erina Fair Shopping Cntr  Erina,New South Wales  ,2250,Australia
Snow Sport Mountain Clothing,C/- Mowamba Place  Thredbro,New South Wales  ,2625,Australia
South Shore Foam Blanks,577 Princes Hwy  Kirrawee,New South Wales ,2232,Australia
Southern Man,138 Princes Hwy,Ulladulla,2539,Australia
Southern Sailboards,6 Senator St,Mt Stuart  Hobart,7019,Australia
Southern Surf,36 North Terrace  Port Elliot,South Australia ,5212,Australia
Sports Power,Shop 1 Bay CentralNorth St  Batemans Bay,New South Wales ,2536,Australia
Sportspower Leongatha,35-37 Mc Cartin St  Leongatha,Victoria  ,3953,Australia
Sportz Look,29 Rankin St  Innisvail,Queensland ,4860,Australia
St Moritz Ski &amp; Surf,426 Oxford St  Bondi Junction,New South Wales ,2022,Australia
Star Surf &amp; Skate,20 Mandurah Terrace,WA   Mandurah,6210,Australia
Star Surf &amp; Skate Hillarys,Shop 208,Sorrento Quay,6020,Australia
Star Surf &amp; Skate Mandurah,Shop 6, Mandurah Terrace  Mandurah,6210,Australia
Star Surf + Skate,20 Mandurah Terrace  Mandurah,Western Australia  ,6210,Australia
Steves Place,Victoria Street  Robe,South Australia ,5276,Australia
Stewart Bob Menswear,203-207 High Street  Kew,Victoria  ,3101,Australia
Straddie Shapes &amp; Surfwear,Mooloomba Rd  Point Lookout,Queensland ,4183,Australia
Strapper,67 The Terrace  Ocean Grove,Victoria  ,3226,Australia
Strapper,106 Surfcoast Hwy  Torquay,Victoria ,3228,Australia
Strapper Factory Outlet,96 Surf Coast Hwy  Torquay,Victoria ,3228,Australia
Street ‘N’ Beach,Shop 30 Centro Shopping Centre  Pialba,Queensland  ,4655,Australia
Suburban Surf,224 Nicklin Way,Cnr Waterview St   Warana,4575,Australia
Sunshine Surfing,89 PittWater Rd  Manly,New South Wales ,2095,Australia
Surf Boardroom - Scarborough,Sh 3 Ocean Plaza, Scarborough Beach Rd  Scarborough,6019,Australia
Surf Clothing Co,Westfield Shoppingtown   Strathpine,Queensland ,4500,Australia
Surf Crew,61Langtree Mall  Mildura,Victoria  ,3500,Australia
Surf Culture,20 Bronte Rd  Bondi Junction,New South Wales ,2022,Australia
Surf Dive n Ski Tannum Sands,Tannum Sands Shopping Centre, Corner Booth Avenue  Tannum Sands,4680,Australia
Surf Factory The,16 Maitland Rd  Islington,New South Wales ,2296,Australia
Surf FX,127 Ferry Rd  Southport,Queensland ,4215,Australia
Surf House The,72 Molesworth St  Lismore,New South Wales ,2480,Australia
Surf Mania,Shop 1/ 7 RailWay Tce   Rockingham,Western Australia ,6168,Australia
Surf N Skate,156 Allen Street  Kyabram,Victoria  ,3620,Australia
Surf Sports Underground,17a Plaza,Arcade  Perth,6000,Australia
Surf Style NF,P.O. Box 608  Norfolk Island,New South Wales  ,2899,Australia
Surf Where,300 Main North Road  Clare,South Australia  ,5453,Australia
Surf-N-Fish,73 Great Ocean Road  ApolloBay,Victoria  ,3233,Australia
Surfection,Shop 7 Warriewood Shopping Centre Jacksons Rd  Warriewood,New South Wales ,2102,Australia
Surfer's Choice,473 The Entrance Road  LongJetty,New South Wales  ,2262,Australia
SurferHer Girl,Shop T355 Erina Fair   Erina,New South Wales ,2250,Australia
Surfers Choice,473 The Entrance Rd  LongJetty,New South Wales ,2261,Australia
Surfin Systems Pty Ltd,40 Queens Ave  Avalon Beach,New South Wales ,2107,Australia
SurfJunction,Shop 4 / 11 Clifton Springs Road  Drysdale,Victoria,3222,Australia
Surfpit,100 Railway St  Corrimal,New South Wales ,2518,Australia
Swerve Surf &amp; Ski,91 Queen St  Ayr,Queensland  ,4807,Australia
Switch International,Shop 31 West End PlazaKieWa St  Albury,New South Wales ,2640,Australia
The Beach Hut,5 Macquarie Crt  George Town,Tasmania ,7253,Australia
The Green Room,The Terrace   Ocean Grove,Victoria ,3226,Australia
The Hutt,125 Parramatta Road  Homebush,New South Wales  ,2140,Australia
The Plank Shop,10 Clarence St  Yamba,New South Wales ,2464,Australia
The Spot For Surf,44 Commercial St  Mt Gambier,South Australia ,5290,Australia
The Surf Boardroom,Shop 22 Ocean Plz   Scarborough,Western Australia ,6019,Australia
The Surf Co.,136 Koroit St  Warrnambool,Victoria  ,3280,Australia
The Surf Shack,507 The Esplanade  Lakes Entrance,Victoria ,3909,Australia
The Surf Shop,15 Albert Place  Victor Harbour,South Australia ,5211,Australia
Tige's Surf Shop,26 Bashford St  Jurien,Western Australia ,6516,Australia
Tom Moren,1 William St  Inverloch,Victoria ,3996,Australia
Torquay Surf,Shop 3/108 Surf Coast Hwy, Torquay,3228,Australia
Total Surf,59a Bridge St  Murray Bridge,South Australia ,5253,Australia
Totally Board Surf,14 Mckenzie St, Ceduna,5690,Australia
Town &amp; Country Hawaii Surfboards,Unit 4 260 West Coast Hwy  Scarborough,Western Australia ,6019,Australia
Trafalgar Menswear,16 Contingent Street  Trafalgar,Victoria ,3824,Australia
Trigger Bros  Frankston,7 Ross-Smith Ave,Frankston,3199,Australia
Trigger Bros Surfboards,46 Ocean Beach Rd  Sorrento,Victoria  ,3943,Australia
Trigger Bros Surfboards,Point Leo Rd  Point Leo,Victoria ,3916,Australia
Trigger Surf Skate Snow,7 Rossmith Ave  Frankston,Victoria ,3199,Australia
Triple Bull,23 The Kings Way   Cronulla,New South Wales ,2230,Australia
Unique Surf Skate &amp; Leisure,132a Main St  Bairnsdale,Victoria ,3875,Australia
Universal Store,Carindale Shopping Centre   Carindale,Queensland ,4152,Australia
Unplugged Byron,Shop 1-2 Lawson St, Byron Bay,2481,Australia
Urban Beach,Orana Mall, Windsor Parade,2830,Australia
Urban Wave Surf &amp; Skate,11 Gregory St  Mackay,Queensland ,4740,Australia
Va Fashions,5 Papuana St  Kununurra,Western Australia ,6743,Australia
Wallbridge Surfboards,Crn Esplande,Repton Rd,4045,Australia
Walters Of Kingston,21 CHARLES STREET  KINGSTON S.E.,South Australia ,5275,Australia
Watersports - Surf-Skate-Ski,3377 Pacific Hwy  Springwood,Queensland ,4127,Australia
Wave Creations,31 Rowlins Rd  Gerringong,New South Wales ,2534,Australia
Wave Master,46- 48 Broadmeadow Rd  Broadmeadow,New South Wales ,2292,Australia
Wave Wear,15 Livingstone St  South West Rocks,New South Wales ,2431,Australia
Wayne Ritchie's Skiers Edge,466 Dean St  Albury,New South Wales ,2640,Australia
Wayne Ritchies Frankston,417 Nepean Hwy  Frankston,Victoria  ,3199,Australia
Wayne Ritchies Shepparton,79 High St.  Shepparton,Victoria  ,3630,Australia
Wedge Island Surf Co.,49 Amherst St  Fremantle,Western Australia ,6160,Australia
Weir's Inside Edge,14 Memorial Ave  CottonTree,Queensland ,4558,Australia
Wick's Surf Shop,1103 PittWater Road  Collaroy,New South Wales  ,2097,Australia
Wilderness Sea N' Ski,137 George St  Liverpool,New South Wales ,2170,Australia
Wimmera Outdoors,56 Wilson St  Horsham,Victoria ,3400,Australia
Wipepout Surf &amp; Skate,Shop 3/28 Duke St  Sunshine Beach,Queensland ,4567,Australia
XS Surf,76 Beach St,Woolgoolga,2456,Australia
Xshore,279 Dundas St  Rye,Victoria ,3941,Australia
Yahoo Surfboards,2/222 Naturaliste Terrace,Dunsborough,6281,Australia
Yallingup Surf Company,2/16 Griffin Dr  Dunsborough,Western Australia ,6281,Australia
Yamba Surf,1/ 16 Coldstream St  Yamba,New South Wales ,2464,Australia
Zak Surfboards,307 Victoria Road     Thornbury,Victoria ,3071,Australia
Zink,136 Terrralong St  Kiama,New South Wales ,2553,Australia
